Date,Time,Moisture,Temperature,Humidity,X,Y,Z,R,G,B
11/14/2019,13:16:03,283,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:16:14,129,124.99,99.99,2,0.24,1,,,
11/14/2019,13:16:25,128,124.99,99.99,2,0.23,1,,,
11/14/2019,13:16:35,278,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:16:46,120,124.99,99.99,2,0.23,1.06,,,
11/14/2019,13:16:57,120,124.99,99.99,2,0.25,1,,,
11/14/2019,13:17:08,120,124.99,99.99,2,0.24,1,,,
11/14/2019,13:17:19,121,124.99,99.99,2,0.25,1,,,
11/14/2019,13:17:30,120,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:17:41,119,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:17:52,120,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:18:03,120,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:18:14,118,124.99,99.99,2,0.24,1,,,
11/14/2019,13:18:25,124,124.99,99.99,2,0.25,1.02,,,
11/14/2019,13:18:36,116,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:18:47,121,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:18:58,117,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:19:09,116,124.99,99.99,2,0.25,1,,,
11/14/2019,13:19:20,116,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:19:31,116,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:19:42,117,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:19:53,115,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:20:04,121,124.99,99.99,2,0.24,1,,,
11/14/2019,13:20:15,105,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:20:26,120,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:20:37,116,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:20:48,115,124.99,99.99,2,0.25,1,,,
11/14/2019,13:20:59,120,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:21:10,116,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:21:21,119,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:21:32,119,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:21:43,115,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:21:54,114,124.99,99.99,2,0.24,1,,,
11/14/2019,13:22:05,113,124.99,99.99,2,0.24,1,,,
11/14/2019,13:22:16,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:22:27,114,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:22:38,114,124.99,99.99,2,0.25,1,,,
11/14/2019,13:22:49,110,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:23:00,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:23:11,114,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:23:22,120,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:23:33,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:23:44,124,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:23:55,117,124.99,99.99,2,0.24,1,,,
11/14/2019,13:24:06,116,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:24:17,113,124.99,99.99,2,0.24,1,,,
11/14/2019,13:24:28,114,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:24:39,179,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:24:50,112,124.99,99.99,2,0.25,1,,,
11/14/2019,13:25:01,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:25:12,107,124.99,99.99,2,0.24,1,,,
11/14/2019,13:25:23,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:25:34,114,124.99,99.99,2,0.25,1,,,
11/14/2019,13:25:45,111,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:25:56,97,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:26:07,112,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:26:18,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:26:29,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:26:40,111,124.99,99.99,2,0.24,1,,,
